City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,carnarvon,AU,2020-09-01 06:51:34,-24.87,113.63,71.6,46,40,18.34,scattered clouds
1,harindanga,IN,2020-09-01 06:51:34,22.04,88.32,80.6,94,75,6.93,heavy intensity rain
2,coquimbo,CL,2020-09-01 06:51:35,-29.95,-71.34,53.6,76,17,1.12,few clouds
3,mataura,NZ,2020-09-01 06:51:35,-46.19,168.86,45.0,72,7,11.01,clear sky
4,rikitea,PF,2020-09-01 06:51:35,-23.12,-134.97,68.29,84,100,19.86,overcast clouds
5,punta arenas,CL,2020-09-01 06:51:35,-53.15,-70.92,33.8,86,91,14.99,overcast clouds
6,san policarpo,PH,2020-09-01 06:51:35,12.18,125.51,85.5,76,31,9.86,scattered clouds
7,maputo,MZ,2020-09-01 06:46:54,-25.97,32.59,61.0,87,75,11.41,broken clouds
8,trstena,SK,2020-09-01 06:51:35,49.36,19.61,51.8,93,75,11.41,broken clouds
9,tuatapere,NZ,2020-09-01 06:51:35,-46.13,167.68,45.0,72,14,11.01,few clouds
10,khatanga,RU,2020-09-01 06:51:36,71.97,102.5,53.8,52,0,11.25,clear sky
11,polis,CY,2020-09-01 06:51:36,35.04,32.43,89.01,79,20,12.75,moderate rain
12,bien hoa,VN,2020-09-01 06:51:36,10.95,106.82,87.8,70,40,9.17,scattered clouds
13,vestmannaeyjar,IS,2020-09-01 06:51:36,63.44,-20.27,50.0,93,90,18.34,overcast clouds
14,hermanus,ZA,2020-09-01 06:51:36,-34.42,19.23,55.74,76,100,20.54,overcast clouds
15,ushuaia,AR,2020-09-01 06:47:12,-54.8,-68.3,37.4,74,7,20.8,clear sky
16,jamestown,US,2020-09-01 06:51:37,42.1,-79.24,66.99,88,75,8.05,broken clouds
17,arraial do cabo,BR,2020-09-01 06:47:24,-22.97,-42.03,71.91,87,96,9.75,overcast clouds
18,bethel,US,2020-09-01 06:51:37,41.37,-73.41,62.01,87,1,3.83,clear sky
19,barrow,US,2020-09-01 06:51:37,71.29,-156.79,35.6,80,90,20.8,overcast clouds
20,hobart,AU,2020-09-01 06:46:48,-42.88,147.33,55.99,43,40,8.05,scattered clouds
21,kloulklubed,PW,2020-09-01 06:51:37,7.04,134.26,87.8,66,75,6.93,broken clouds
22,agnibilekrou,CI,2020-09-01 06:51:37,7.13,-3.2,68.92,95,88,3.67,overcast clouds
23,vagur,FO,2020-09-01 06:51:37,61.47,-6.81,52.41,90,67,17.6,broken clouds
24,hasaki,JP,2020-09-01 06:51:38,35.73,140.83,77.0,94,75,12.75,broken clouds
25,atuona,PF,2020-09-01 06:51:38,-9.8,-139.03,78.73,77,13,21.88,light rain
26,sao joao da barra,BR,2020-09-01 06:51:38,-21.64,-41.05,72.37,82,100,5.86,overcast clouds
27,dikson,RU,2020-09-01 06:51:38,73.51,80.55,48.4,76,3,4.38,clear sky
28,saint-francois,FR,2020-09-01 06:51:38,46.42,3.91,50.0,100,0,2.89,clear sky
29,lavrentiya,RU,2020-09-01 06:51:38,65.58,-171.0,41.63,85,100,7.47,overcast clouds
30,cape town,ZA,2020-09-01 06:48:49,-33.93,18.42,55.0,76,100,8.05,overcast clouds
31,vaini,TO,2020-09-01 06:51:38,-21.2,-175.2,77.0,94,75,5.82,broken clouds
32,ostrovnoy,RU,2020-09-01 06:51:39,68.05,39.51,52.88,73,73,9.19,broken clouds
33,victoria,HK,2020-09-01 06:46:52,22.29,114.16,93.2,56,20,11.41,few clouds
34,albany,US,2020-09-01 06:51:39,42.6,-73.97,63.0,100,16,2.82,few clouds
