City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,carnarvon,AU,71.6,-24.87,113.63,scattered clouds,Hospitality Carnarvon
1,harindanga,IN,80.6,22.04,88.32,heavy intensity rain,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
2,coquimbo,CL,53.6,-29.95,-71.34,few clouds,Hotel San Juan
4,rikitea,PF,68.29,-23.12,-134.97,overcast clouds,Pension Maro'i
7,maputo,MZ,61.0,-25.97,32.59,broken clouds,Pestana Rovuma
8,trstena,SK,51.8,49.36,19.61,broken clouds,HOTEL ROHÁČ
10,khatanga,RU,53.8,71.97,102.5,clear sky,"Gostinitsa ""Zapolyar'ye"""
13,vestmannaeyjar,IS,50.0,63.44,-20.27,overcast clouds,Glamping & Camping
14,hermanus,ZA,55.74,-34.42,19.23,overcast clouds,Misty Waves Boutique Hotel
16,jamestown,US,66.99,42.1,-79.24,broken clouds,Hampton Inn & Suites Jamestown
17,arraial do cabo,BR,71.91,-22.97,-42.03,overcast clouds,Pousada Porto Praia
18,bethel,US,62.01,41.37,-73.41,clear sky,Courtyard by Marriott Danbury
20,hobart,AU,55.99,-42.88,147.33,scattered clouds,St Ives Hobart Accommodation Tasmania
22,agnibilekrou,CI,68.92,7.13,-3.2,overcast clouds,"J'AIME ATTOBRO, (Mon Village)"
23,vagur,FO,52.41,61.47,-6.81,broken clouds,Vestmanna Hostel
24,hasaki,JP,77.0,35.73,140.83,broken clouds,Inubosaki Kanko Hotel
25,atuona,PF,78.73,-9.8,-139.03,light rain,Villa Enata
26,sao joao da barra,BR,72.37,-21.64,-41.05,overcast clouds,Pousada Porto De Canoas
28,saint-francois,FR,50.0,46.42,3.91,clear sky,Manoir Du Bonheur
30,cape town,ZA,55.0,-33.93,18.42,overcast clouds,Southern Sun Waterfront Cape Town
31,vaini,TO,77.0,-21.2,-175.2,broken clouds,Keleti Beach Resort
32,ostrovnoy,RU,52.88,68.05,39.51,broken clouds,
34,albany,US,63.0,42.6,-73.97,few clouds,
35,pangody,RU,57.45,65.85,74.49,overcast clouds,Elizaveta Shevchuk's House
37,bontang,ID,77.58,0.13,117.5,overcast clouds,Okra Leaf Guest House Syariah
39,kahului,US,80.6,20.89,-156.47,few clouds,Maui Seaside Hotel
40,kavaratti,IN,84.2,10.57,72.64,moderate rain,Bismillah Hotel And Lodging
41,vanimo,PG,84.43,-2.67,141.3,overcast clouds,Vahmoneh Lodge Vanimo
42,hovd,MN,70.59,48.01,91.64,clear sky,Hotel Khovd
45,cusuna,HN,76.15,15.85,-85.23,clear sky,
46,flinders,AU,59.0,-34.58,150.86,scattered clouds,Shellharbour Resort & Conference Centre
